Country,City,Latitude,Longitude,Type
Abkhazia,Sukhum,43.03325,40.973741,Russian Embassy
Afghanistan,Kabul,34.44606,69.179655,Russian Embassy
Afghanistan,Mazar-i-Sharif,36.680516,67.073313,Consulate General of Russia
Albania,Tirana,41.336965,19.818542,Russian Embassy
Algeria,Algeria,36.716468,3.013408,Russian Embassy
Algeria,Annaba,36.863463,7.751697,Consulate General of Russia
Angola,Luanda,-8.895061,13.291186,Russian Embassy
Argentina,Buenos Aires,-34.601072,-58.461442,Russian Embassy
Armenia,Yerevan,40.15816,44.506007,Russian Embassy
Armenia,Gyumri,40.798258,43.865607,Consulate General of Russia
Australia,Canberra,-35.326909,149.113294,Russian Embassy
Australia,Sydney,-33.956683,151.025287,Consulate General of Russia
Austria,Vienna,48.191635,16.342457,Russian Embassy
Austria,Salzburg,47.801478,13.034797,Consulate General of Russia
Azerbaijan,Baku,40.420104,49.977852,Russian Embassy
Bahrain,Manama,26.15865,50.52356,Russian Embassy
Bangladesh,Dacca,23.777356,90.467751,Russian Embassy
Bangladesh,Chittagong,22.339458,91.841168,Consulate General of Russia
Belgium,Brussels,50.842215,4.373259,Russian Embassy
Belgium,Antwerp,51.225498,4.424499,Consulate General of Russia
Benin,Cotonou,6.326167,2.426583,Russian Embassy
Bolivia,La Paz,-16.464534,-68.147311,Russian Embassy
Bosnia and Herzegovina,Sarajevo,43.858222,18.395673,Russian Embassy
Botswana,Gaborone,-24.641597,26.066811,Russian Embassy
Brazil,Brazilia,-15.878998,-47.934526,Russian Embassy
Brazil,Rio de Janeiro,-22.810891,-43.389751,Consulate General of Russia
Brazil,Sao Paulo,-23.983655,-46.507152,Consulate General of Russia
Brunei,Bandar Seri Begawan,4.830506,114.860236,Russian Embassy
Bulgaria,Sofia,42.692168,23.324029,Russian Embassy
Bulgaria,Varna,43.222666,27.934246,Consulate General of Russia
Bulgaria,Ruse,43.864526,25.98715,Consulate General of Russia
Burundi,Bujumbura,-3.351373,29.351922,Russian Embassy
Byelorussia,Minsk,53.903498,27.561741,Russian Embassy
Byelorussia,Brest,52.117938,23.704591,Consulate General of Russia
Cambodia,Phnom Penh,11.521973,104.912059,Russian Embassy
Cameroon,Yaounde,3.818374,11.548211,Russian Embassy
Canada,Ottawa,45.328624,-75.70332,Russian Embassy
Canada,Montreal,45.517199,-73.664081,Consulate General of Russia
Canada,Toronto,43.691014,-79.427061,Consulate General of Russia
Cape Verde,Pry,14.947433,-23.535474,Russian Embassy
CAR,Bangui,4.322027,18.552897,Russian Embassy
Chad,Ndjamena,12.112004,15.094868,Russian Embassy
Chile,Santiago,-33.415887,-70.601733,Russian Embassy
China,Peking,39.876918,116.323017,Russian Embassy
China,Guangzhou,23.076998,113.254947,Consulate General of Russia
China,Hong Kong (Hong Kong),22.213546,114.152463,Consulate General of Russia
China,Shanghai,31.168116,121.442417,Consulate General of Russia
China,Shenyang,41.841019,123.460913,Consulate General of Russia
Colombia,Bogota,4.552148,-74.111083,Russian Embassy
Congo,Brazzaville,-4.278723,15.252926,Russian Embassy
Costa Rica,San Jose,9.899558,-84.071791,Russian Embassy
Croatia,Zagreb,45.817639,15.9728,Russian Embassy
Cuba,Havana,23.063782,-82.342193,Russian Embassy
Cyprus,Nicosia,35.173738,33.353243,Russian Embassy
Czech Republic,Prague,50.071737,14.439385,Russian Embassy
Czech Republic,Brno,49.210794,16.599124,Consulate General of Russia
Czech Republic,Karlovy Vary,50.230525,12.880368,Consulate General of Russia
Democratic Republic of the Congo,Kinshasa,-4.312469,15.304894,Russian Embassy
Denmark,Copenhagen,55.738044,12.443329,Russian Embassy
Djibouti,Djibouti,11.495553,43.158219,Russian Embassy
DPRK,Pyongyang,38.980109,125.741835,Russian Embassy
DPRK,Chongjin,41.821683,129.783373,Consulate General of Russia
Ecuador,Quito,-0.193897,-78.588601,Russian Embassy
Egypt,Cairo,30.074416,31.30185,Russian Embassy
Egypt,Alexandria,31.219214,29.934516,Consulate General of Russia
Eritrea,Asmara,15.284776,38.935428,Russian Embassy
Estonia,Tallinn,59.405984,24.734779,Russian Embassy
Estonia,Tartu,58.370666,26.719553,Office of the Consular Department of the Russian Embassy
Estonia,Narva,59.376403,28.182315,Consulate General of Russia
Ethiopia,Addis Ababa,8.993335,38.726911,Russian Embassy
Finland,Helsinki,60.219514,24.921718,Russian Embassy
Finland,Turk,60.453734,22.276449,Consulate General of Russia
Finland,Lappeenranta,61.050454,28.207423,Office of the Consular Department of the Russian Embassy
Finland,Mariehamn,60.10208,19.932429,Consulate of Russia
France,Paris,48.859917,2.348825,Russian Embassy
France,topsail,43.298705,5.389631,Consulate General of Russia
France,Strasbourg,48.572656,7.743523,Consulate General of Russia
Gabon,Libreville,0.343342,9.536758,Russian Embassy
Georgia,Tbilisi,41.614439,44.839012,Russian Interests Section in Tbilisi (the Swiss Embassy)
Germany,Berlin,52.491937,13.419932,Russian Embassy
Germany,Bonn,50.706907,7.115187,Consulate General of Russia
Germany,Hamburg,53.614669,9.972027,Consulate General of Russia
Germany,Leipzig,51.327744,12.362831,Consulate General of Russia
Germany,Munich,48.146025,11.548319,Consulate General of Russia
Germany,Frankfurt,50.122294,8.625659,Consulate General of Russia
Ghana,Accra,5.524842,-0.247531,Russian Embassy
Great Britain,London,51.490054,-0.078989,Russian Embassy
Great Britain,Edinburgh,55.9365,-3.199583,Consulate General of Russia
Greece,Athens,37.967228,23.712981,Russian Embassy
Greece,Thessaloniki,40.623141,22.948811,Consulate General of Russia
Guatemala,Guatemala,15.754058,-90.207635,Russian Embassy
Guinea,Conakry,9.49597,-13.684944,Russian Embassy
Guinea-Bissau,Bissau,11.855219,-15.618445,Russian Embassy
Guyana,Georgetown,6.74322,-58.124493,Russian Embassy
Hungary,Budapest,47.493633,19.082139,Russian Embassy
Hungary,Debrecen,47.531136,21.622494,Consulate General of Russia
Iceland,Reykjavik,64.138641,-21.917393,Russian Embassy
India,New Delhi,28.593226,77.196553,Russian Embassy
India,Calcutta,22.558518,88.313349,Consulate General of Russia
India,Mumbai,18.941486,72.832843,Consulate General of Russia
India,Chennai (Madras),13.008912,80.2105,Consulate General of Russia
Indonesia,Jakarta,-6.273962,106.806507,Russian Embassy
Iran,Tehran,35.676386,51.405688,Russian Embassy
Iran,Isfahan,32.642421,51.642906,Consulate General of Russia
Iran,Rasht,37.266836,49.587031,Consulate General of Russia
Iraq,Baghdad,33.353737,44.394804,Russian Embassy
Iraq,Erbil,36.153425,44.057496,Consulate General of Russia
Ireland,Dublin,53.328568,-6.246768,Russian Embassy
Israel,Tel Aviv,32.111343,34.869635,Russian Embassy
Israel,Haifa,32.720427,35.054868,Consulate General of Russia
Italy,Rome,41.889259,12.500785,Russian Embassy
Italy,Genoa,44.416571,8.945612,Consulate General of Russia
Italy,Milan,45.489247,9.182094,Consulate General of Russia
Italy,Palermo,38.123807,13.359655,Consulate General of Russia
Ivory Coast,Abidjan,5.299267,-4.02465,Russian Embassy
Jamaica,kingston,17.973649,-76.75972,Russian Embassy
Japan,Tokyo,35.624013,139.718462,Russian Embassy
Japan,Niigata,37.784123,139.013706,Consulate General of Russia
Japan,Osaka,34.607489,135.505138,Consulate General of Russia
Japan,Sapporo,43.023601,141.382717,Consulate General of Russia
Japan,Hakodate,41.773802,140.832058,Consulate General in Sapporo (branch in Hakodate)
Jordan,Amman,31.880938,36.00798,Russian Embassy
Kazakhstan,Astana,51.151817,71.480124,Russian Embassy
Kazakhstan,Alma-Ata,43.28081,76.912336,Consulate General of Russia
Kazakhstan,Uralsk,51.224319,51.404817,Consulate of Russia
Kenya,Nairobi,-1.360666,36.850833,Russian Embassy
Kuwait,Kuwait,29.299777,47.95949,Russian Embassy
Kyrgyzstan,Bishkek,42.807503,74.567625,Russian Embassy
Kyrgyzstan,oui,40.503497,72.763556,Consulate General of Russia
Laos,Vientiane,17.978558,102.647559,Russian Embassy
Latvia,Riga,56.958257,24.099455,Russian Embassy
Latvia,Daugavpils,55.888402,26.53874,Consulate General of Russia
Latvia,Liepaja,56.499355,21.01181,Consulate General of Russia
Lebanon,Beirut,33.781988,35.535394,Russian Embassy
Libya,Tripoli,32.836497,13.193602,Russian Embassy
Lithuania,Vilnius,54.697511,25.294124,Russian Embassy
Lithuania,Klaipeda,55.705376,21.137565,Consulate General of Russia
Luxembourg,Luxembourg,49.616691,6.124399,Russian Embassy
Macedonia,Skopje,42.010918,21.427649,Russian Embassy
Madagascar,Antananarivo,-18.920363,47.525163,Russian Embassy
Malaysia,Kuala Lumpur,3.026736,101.675411,Russian Embassy
Mali,Bamako,12.623315,-8.032044,Russian Embassy
Malta,Valletta,35.896128,14.496593,Russian Embassy
Mauritania,Nouakchott,18.022721,-15.956451,Russian Embassy
Mauritius,Port Louis,-20.208367,57.500407,Russian Embassy
Mexico,Mexico,19.382862,-99.157658,Russian Embassy
Moldavia,Kishinev,47.012925,28.838526,Russian Embassy
Mongolia,Ulaanbaatar,47.975081,106.931526,Russian Embassy
Mongolia,Darkhan,49.458477,105.963564,Consulate General of Russia
Mongolia,Erdenet,49.016287,103.954401,Consulate General of Russia
Montenegro,Podgorica,42.436997,19.269662,Russian Embassy
Morocco,discount,33.908604,-6.855287,Russian Embassy
Mozambique,Maputo,-25.88715,32.616867,Russian Embassy
Myanmar,Yangon,16.743791,96.176383,Russian Embassy
Namibia,Windhoek,-22.62866,17.069913,Russian Embassy
Nepal,Katmandu,27.697243,85.336691,Russian Embassy
Netherlands,Hague,52.0714,4.297316,Russian Embassy
new Zealand,Wellington,-41.369536,174.732213,Russian Embassy
Nicaragua,Managua,12.091195,-86.2818,Russian Embassy
Nigeria,Lagos,6.416703,3.325168,Russian Embassy
Nigeria,Abuja,9.026958,7.354588,Representation of the Russian Embassy
Norway,Oslo,59.908421,10.677708,Russian Embassy
Norway,Kirkenes,69.723902,30.063415,Consulate General of Russia
Norway,Barentsburg,78.083505,14.223358,Consulate of Russia
Oman,Muscat,23.523274,58.574513,Russian Embassy
Pakistan,Islamabad,33.664693,73.035162,Russian Embassy
Pakistan,Karachi,24.832645,67.016485,Consulate General of Russia
Palestine,Ramallah,31.960751,35.271146,Representation of the Russian Federation to the Palestinian Authority
Panama,Panama,9.038318,-79.448357,Russian Embassy
Paraguay,Asuncion,-25.306701,-57.534893,Russian Embassy
Peru,Lima,-12.062443,-77.031398,Russian Embassy
Philippines,Manila,14.569092,121.007497,Russian Embassy
Poland,Warsaw,52.197128,21.086783,Russian Embassy
Poland,Gdansk,54.363675,18.654622,Consulate General of Russia
Poland,Krakow,50.058634,19.964168,Consulate General of Russia
Poland,Poznan,52.412088,16.92523,Consulate General of Russia
Portugal,Lisbon,38.739494,-9.162636,Russian Embassy
Qatar,fur coat,25.19494,51.524194,Russian Embassy
Republic Of Korea,Seoul,37.491109,126.929291,Russian Embassy
Republic Of Korea,Busan,35.082313,129.011711,Consulate General of Russia
Romania,Bucharest,44.447185,26.106354,Russian Embassy
Romania,Constanta,44.180381,28.632839,Consulate General of Russia
Rwanda,Kigali,-1.986243,30.107207,Russian Embassy
Saudi Arabia,Riyadh,24.508347,46.705307,Russian Embassy
Saudi Arabia,Jeddah,21.45179,39.218981,Consulate General of Russia
Senegal,Dakar,14.695961,-17.487324,Russian Embassy
Serbia,Belgrade,44.787516,20.489727,Russian Embassy
Seychelles,Victoria,-4.728582,55.398259,Russian Embassy
Singapore,Singapore,1.24934,103.823032,Russian Embassy
Slovakia,Bratislava,48.170187,17.124162,Russian Embassy
Slovenia,Ljubljana,46.057826,14.493679,Russian Embassy
South Africa,Pretoria,-25.716888,28.231202,Russian Embassy
South Africa,Capetown,-33.925297,18.415939,Consulate General of Russia
South Ossetia,Tskhinvali,42.233395,43.998072,Russian Embassy
Spain,Madrid,40.422245,-3.682904,Russian Embassy
Spain,Barcelona,41.399501,2.141305,Consulate General of Russia
Sri Lanka,Colombo,6.842702,79.866903,Russian Embassy
Sudan,Khartoum,15.528305,32.570451,Russian Embassy
Sweden,Stockholm,59.381982,17.956846,Russian Embassy
Sweden,Gothenburg,57.710225,11.97298,Consulate General of Russia
Switzerland,Berne,46.945025,7.453537,Russian Embassy
Switzerland,Geneva,46.198745,6.153828,Consulate General of Russia
Syria,Damascus,33.467927,36.318483,Russian Embassy
Syria,aleppo,36.206917,37.162082,Consulate General of Russia
Tajikistan,Dushanbe,38.554951,68.795015,Russian Embassy
Tajikistan,Khujand,40.239732,69.578435,Consulate General of Russia
Tanzania,Dar es Salaam,-6.821818,39.290505,Russian Embassy
Thailand,Bangkok,13.74976,100.531443,Russian Embassy
Tunisia,Tunisia,33.867443,9.577406,Russian Embassy
Turkey,Ankara,39.922492,32.880828,Russian Embassy
Turkey,Antalya,36.897713,30.71852,Consulate General of Russia
Turkey,Istanbul,41.045885,28.943368,Consulate General of Russia
Turkey,Trabzon,40.998881,39.723457,Consulate General of Russia
Turkmenistan,Ashgabat,37.909017,58.416563,Russian Embassy
Turkmenistan,Turkmenbashi,40.01123,53.035187,Consular Department of the Russian Embassy
Uganda,Kampala,0.293711,32.615977,Russian Embassy
Ukraine,Kiev,50.451118,30.522301,Russian Embassy
Ukraine,Odessa,46.469517,30.739846,Consulate General of Russia
Ukraine,Kharkiv,50.006174,36.228301,Consulate General of Russia
Ukraine,Lions,49.842164,24.031201,Consulate General of Russia
United Arab Emirates,Abu Dhabi,24.42041,54.378833,Russian Embassy
United Arab Emirates,dubai,25.18765,55.332197,Consulate General of Russia
United States,Washington,38.898741,-77.050586,Russian Embassy
United States,NY,40.802941,-74.039783,Consulate General of Russia
United States,San Francisco,37.575531,-122.355716,Consulate General of Russia
United States,Seattle,47.588197,-122.323053,Consulate General of Russia
United States,Houston,29.71664,-95.284715,Consulate General of Russia
Uruguay,Montevideo,-34.890225,-56.24113,Russian Embassy
Uzbekistan,Tashkent,41.258054,69.260674,Russian Embassy
Venezuela,Caracas,10.464685,-66.919144,Russian Embassy
Vietnam,Hanoi,20.968171,105.823472,Russian Embassy
Vietnam,Danang,15.951851,108.228172,Consulate General of Russia
Vietnam,Ho Chi Minh City,10.704372,106.632207,Consulate General of Russia
Yemen,san,15.359378,44.192063,Russian Embassy
Yemen,Aden,12.716513,45.009854,Consulate General of Russia
Zambia,Lusaka,-15.411862,28.270153,Russian Embassy
Zimbabwe,Harare,-17.7771,31.015252,Russian Embassy